Developer,Android,iOS
HOMA,Homa,1508492426
ABI,ABI GAME,1462868044
ABI,ABI Games Studio,1743349083
ABI,ABI GLOBAL LTD.,1447943052
ABI,ABI GAMES PTE. LTD.,1743349083
Rollic,Rollic Games,1452111779
Voodoo,VOODOO,714804730
Learnings,Oakever Games,1658671470
Learnings,Vita Studio.,1673880893
Learnings,Cedar Games Studio,1748999078
LIHUHU,LIHUHU PTE. LTD.,1259021611
LIHUHU,LIHUHU PUBLISHING PTE. LTD.,1732214108
LIHUHU,BRAINWORKS PUBLISHING PTE. LTD.,1589193484
iKame,iKame Games - Zego Studio,1637372610
iKame,iKame Global JSC,1637372610
OneSoft,FALCON GAMES,1439862247
SayGames,SayGames Ltd,1551847165
Red Infinity,Youyoutang Technology,1851169398
Loom Games,Loom Games A.Ş.,1833998834
Hitapps,Hitapps Games,1648314473
Lessmore,Lessmore UG,1579865033
Tripledot,Tripledot Studios Limited,1191319103
Combo,Combo Game,1641699177
Easybrain,Easybrain,1190815537
Grand Games,Grand Games A.Ş.,1742757639
Dream Games,Dream Games,1482155846
Microfun,Microfun Limited,1650531996
Peak,Peak,476160947
Playrix,Playrix,1162116447
Moon Active,Moon Active,470556954
Century Games,Century Games,1540548141
GOODROID,GOODROID,951688937
Lion Studios Plus,Lion Studios Plus,1610194568
Guru Puzzle Game,Guru Puzzle Game,1499790773
Astrasen Global,Astrasen Global,1862075373
JoyGame Studio,JoyGame Studio,1704802085
PANDAS OF CARIBBEAN,Mindful Daily Puzzles,1472850696
Grand Games,Grand Games A.Ş.,1742757639
Mavericks,Pleasure City,1649476488
Mavericks,Joymaster Puzzle Game Studio,6772086412
TREEPLLA,TREEPLLA,539389569
Sonat Global,Sonat Global,1473232089
